ESO CLASS;FN FRAME;FN LU;PWN SS ID;;;;;;;;
*;Change_of_leadership;freedom.n;_;;;;;;;;
*;Change_of_leadership;independence;113994148;;;;;;;;
*;bm:Proliferating_in_number;non-proliferation;_;;;;;;;;
*;bm:Cause_change_of_position_on_a_scale;move;_;;;;;;;;
*;bm:Change_position_on_a_scale;edge;_;;;;;;;;
*;bm:Change_position_on_a_scale;fluctuate.v;200270699;;;;;;;;
*;bm:Change_position_on_a_scale;fluctuation;107337390;;;;;;;;
*;bm:Change_position_on_a_scale;move.v;_;;;;;;;;
*;bm:Change_position_on_a_scale;reach;_;;;;;;;;
*;bm:Change_position_on_a_scale;shift.v;_;;;;;;;;
*;bm:Change_position_on_a_scale;shift.n;_;;;;;;;;
*;bm:Change_position_on_a_scale;slide;_;;;;;;;;
*;bm:Change_position_on_a_scale;swing;_;;;;;;;;
*;Using_resource;spend;;;;;;;;;
*;Hiring;retain;202410175;;;;;;;;
*;Quitting_a_place;defect.v;_;;;;;;;;
*;Quitting_a_place;defection;_;;;;;;;;
*;Quitting_a_place;desert.v;_;;;;;;;;
*;Quitting_a_place;desertion;_;;;;;;;;
Arriving;Arriving;appear.v;200422090;;;;;;;;
Arriving;Arriving;approach.n;100280853;;;;;;;;
Arriving;Arriving;approach.v;202053941;;;;;;;;
Arriving;Arriving;arrival.n;100048374;;;;;;;;
Arriving;Arriving;arrive.v;202005948;;;;;;;;
Arriving;Arriving;come.v;202005948;;;;;;;;
Arriving;Arriving;crest.v;_;;;;;;;;
Arriving;Arriving;descend_on.v;_;;;;;;;;
Arriving;Arriving;enter.v;202016523;;;;;;;;
Arriving;Arriving;entrance.n;100049003;107370125;;;;;;;
Arriving;Arriving;entry.n;100049003;;;;;;;;
Arriving;Arriving;get.v;202005948;;;;;;;;
Arriving;Arriving;hit.v;202020590;;;;;;;;
Arriving;Arriving;influx.n;_;;;;;;;;
Arriving;Arriving;make_it.v;_;;;;;;;;
Arriving;Arriving;make.v;202020590;;;;;;;;
Arriving;Arriving;reach.v;202020590;;;;;;;;
Arriving;Arriving;return.n;_;;;;;;;;
Arriving;Arriving;return.v;202004874;202078294;;;;;;;
Arriving;Arriving;visit.n;_;;;;;;;;
Arriving;Arriving;visit.v;_;;;;;;;;
Arriving;Vehicle_landing;land.v;201979901;201981036;;;;;;;
